Continent,Country,Country Code,Price/Minute,Deselect Continent
North America,Anguilla,(+1-264),$0.377-$0.604,
North America,Antigua and Barbuda,(+1-268),$0.378-$0.49,
North America,Aruba,(+297),$0.14-$0.31,
North America,Bahamas,(+1-242),$0.313-$0.313,
North America,Barbados,(+1-246),$0.28-$0.39,
North America,Belize,(+501),$0.30-$0.35,
North America,Bermuda,(+1-441),$0.053-$0.053,
North America,Cayman Islands,(+1-345),$0.338-$0.416,
North America,Costa Rica,(+506),$0.032-$0.123,
North America,Cuba,(+53),$1.015-$1.015,
North America,Dominica,(+1-767),$0.405-$0.588,
North America,Dominican Republic,"(+1-829,1809,1849)",$0.11-$0.138,
North America,El Salvador,(+503),$0.275-$0.29,
North America,Greenland,(+299),$0.475-$0.705,
North America,Grenada,(+1-473),$0.29-$0.524,
North America,Guadeloupe,(+590),$0.072-$0.326,
North America,Guatemala,(+502),$0.203-$0.225,
North America,Haiti,(+509),$0.415-$0.714,
North America,Honduras,(+504),$0.241-$0.25,
North America,Jamaica,(+1-876),$0.305-$0.41,
North America,Martinique,(+596),$0.026-$0.273,
North America,Mexico,(+52),$0.015-$0.047,
North America,Montserrat,(+1-664),$0.634-$0.634,
North America,Netherlands Antilles,(+599),$0.157-$1.159,
North America,Nicaragua,(+505),$0.337-$0.40,
North America,Panama,(+507),$0.045-$0.325,
North America,Puerto Rico,"(+1-787,1939)",$0.02-$0.02,
North America,St Kitts and Nevis,(+1-869),$0.287-$0.325,
North America,St Lucia,(+1-758),$0.48-$0.483,
North America,St Pierre and Miquelon,(+508),$0.92-$0.92,
North America,St Vincent Grenadines,(+1-784),$0.338-$0.402,
North America,Trinidad and Tobago,(+1-868),$0.291-$0.34,
North America,Turks and Caicos Islands,(+1-649),$0.305-$0.494,
North America,United States/Canada,(+1),$0.014-$0.153,
North America,"Virgin Islands, British",(+1-284),$0.312-$0.449,
North America,"Virgin Islands, U.S.",(+1-340),$0.036-$0.036,
South America,Argentina,(+54),$0.019-$0.336,
South America,Bolivia,(+591),$0.238-$0.28,
South America,Brazil,(+55),$0.024-$0.066,
South America,Chile,(+56),$0.043-$1.149,
South America,Colombia,(+57),$0.029-$0.07,
South America,Ecuador,(+593),$0.196-$0.33,
South America,Falkland Islands,(+500),$3.30-$3.30,
South America,French Guiana,(+594),$0.034-$0.166,
South America,Guyana,(+592),$0.26-$0.345,
South America,Paraguay,(+595),$0.083-$0.145,
South America,Peru,(+51),$0.014-$0.435,
South America,Suriname,(+597),$0.363-$1.21,
South America,Uruguay,(+598),$0.07-$0.31,
South America,Venezuela,(+58),$0.06-$0.11,
Europe,Albania,(+355),$0.239-$1.705,
Europe,Andorra,(+376),$0.047-$0.294,
Europe,Austria,(+43),$0.016-$0.28,
Europe,Belarus,(+375),$0.51-$0.54,
Europe,Belgium,(+32),$0.035-$0.524,
Europe,"Bosnia and Herzegovina",(+387),$0.232-$0.536,
Europe,Bulgaria,(+359),$0.03-$0.485,
Europe,Croatia,(+385),$0.03-$0.615,
Europe,Cyprus,(+357),$0.075-$0.208,
Europe,Czech Republic,(+420),$0.037-$0.115,
Europe,Denmark,(+45),$0.019-$0.051,
Europe,Estonia,(+372),$0.063-$0.478,
Europe,Faroe Islands,(+298),$0.031-$0.057,
Europe,"Finland/Aland Islands",(+358),$0.044-$0.495,
Europe,France,(+33),$0.016-$0.16,
Europe,Germany,(+49),$0.016-$0.35,
Europe,Gibraltar,(+350),$0.059-$0.255,
Europe,Greece,(+30),$0.021-$0.325,
Europe,Hungary,(+36),$0.015-$0.105,
Europe,Iceland,(+354),$0.029-$0.05,
Europe,Ireland,(+353),$0.017-$3.00,
Europe,Italy,(+39),$0.017-$0.331,
Europe,Kosovo,(+383),$0.247-$0.80,
Europe,Latvia,(+371),$0.12-$0.825,
Europe,Liechtenstein,(+423),$0.203-$0.265,
Europe,Lithuania,(+370),$0.092-$0.498,
Europe,Luxembourg,(+352),$0.017-$0.253,
Europe,Macedonia,(+389),$0.411-$0.62,
Europe,Malta,(+356),$0.225-$0.476,
Europe,Moldova,(+373),$0.365-$0.442,
Europe,Monaco,(+377),$0.12-$0.55,
Europe,Montenegro,(+382),$0.452-$0.708,
Europe,Netherlands,(+31),$0.018-$0.788,
Europe,Norway,(+47),$0.02-$0.168,
Europe,Poland,(+48),$0.03-$0.165,
Europe,Portugal,(+351),$0.014-$0.495,
Europe,Romania,(+40),$0.008-$0.032,
Europe,San Marino,(+378),$0.305-$0.505,
Europe,Serbia,(+381),$0.232-$0.61,
Europe,Slovakia,(+421),$0.027-$0.104,
Europe,Slovenia,(+386),$0.242-$0.586,
Europe,Spain,(+34),$0.018-$0.687,
Europe,Sweden,(+46),$0.016-$0.064,
Europe,Switzerland,(+41),$0.034-$0.645,
Europe,"Turkish Republic of Northern Cyprus",(+9-0392),$0.07-$0.07,
Europe,Ukraine,(+380),$0.252-$0.41,
Europe,"United Kingdom",(+44),$0.015-$2.829,
Europe,Vatican City,(+379),$0.021-$0.021,
Asia,Afghanistan,(+93),$0.32-$0.415,
Asia,Armenia,(+374),$0.215-$0.30,
Asia,Azerbaijan,(+994),$0.341-$0.47,
Asia,Bahrain,(+973),$0.154-$0.182,
Asia,Bangladesh,(+880),$0.06-$0.06,
Asia,Bhutan,(+975),$0.16-$0.16,
Asia,"British Indian Ocean Territory",(+246),$3.142-$3.142,
Asia,Brunei,(+673),$0.122-$0.122,
Asia,Cambodia,(+855),$0.10-$0.10,
Asia,East Timor,(+670),$0.80-$0.80,
Asia,Georgia,(+995),$0.10-$0.412,
Asia,Hong Kong,(+852),$0.032-$0.049,
Asia,India,(+91),$0.037-$0.047,
Asia,Indonesia,(+62),$0.096-$0.097,
Asia,Iran,(+98),$0.258-$0.269,
Asia,Iraq,(+964),$0.263-$0.31,
Asia,Israel,(+972),$0.025-$0.315,
Asia,Japan,(+81),$0.061-$0.185,
Asia,Jordan,(+962),$0.229-$0.231,
Asia,"Korea, Dem People's Rep",(+850),$0.745-$0.745,
Asia,"Korea, Republic of",(+82),$0.031-$0.035,
Asia,Kuwait,(+965),$0.08-$0.13,
Asia,Kyrgyzstan,(+996),$0.306-$0.346,
Asia,Laos PDR,(+856),$0.101-$0.101,
Asia,Lebanon,(+961),$0.14-$0.28,
Asia,Macau,(+853),$0.628-$0.628,
Asia,Malaysia,(+60),$0.05-$0.08,
Asia,Maldives,(+960),$1.17-$1.313,
Asia,Mongolia,(+976),$0.053-$0.053,
Asia,Myanmar,(+95),$0.365-$0.365,
Asia,Nepal,(+977),$0.231-$0.25,
Asia,Oman,(+968),$0.31-$0.41,
Asia,Pakistan,(+92),$0.155-$0.18,
Asia,Palestinian Territory,(+970),$0.258-$0.303,
Asia,Philippines,(+63),$0.182-$0.21,
Asia,Qatar,(+974),$0.252-$0.30,
Asia,"Russia/Kazakhstan",(+7),$0.251-$0.368,
Asia,Saudi Arabia,(+966),$0.14-$0.225,
Asia,Singapore,(+65),$0.037-$0.058,
Asia,Sri Lanka,(+94),$0.234-$0.236,
Asia,Syria,(+963),$0.341-$0.459,
Asia,Taiwan,(+886),$0.104-$0.189,
Asia,Tajikistan,(+992),$0.253-$0.30,
Asia,Thailand,(+66),$0.10-$0.10,
Asia,Turkey,(+90),$0.057-$0.237,
Asia,Turkmenistan,(+993),$0.247-$0.247,
Asia,United Arab Emirates,(+971),$0.221-$0.245,
Asia,Uzbekistan,(+998),$0.15-$0.17,
Asia,Vietnam,(+84),$0.12-$0.12,
Asia,Yemen,(+967),$0.215-$0.23,
Africa,Algeria,(+213),$0.10-$1.346,
Africa,Angola,(+244),$0.488-$0.813,
Africa,Benin,(+229),$0.525-$0.528,
Africa,Botswana,(+267),$0.231-$0.351,
Africa,Burkina Faso,(+226),$0.542-$0.546,
Africa,Burundi,(+257),$0.72-$0.885,
Africa,Cameroon,(+237),$0.41-$0.501,
Africa,Cape Verde,(+238),$0.33-$0.47,
Africa,Central Africa,(+236),$1.076-$1.095,
Africa,Chad,(+235),$0.80-$1.001,
Africa,Comoros,(+269),$0.947-$0.947,
Africa,Congo,(+242),$0.90-$0.90,
Africa,"Congo, Dem Rep",(+243),$0.666-$0.704,
Africa,Djibouti,(+253),$0.555-$0.555,
Africa,Egypt,(+20),$0.135-$0.17,
Africa,Equatorial Guinea,(+240),$0.632-$0.747,
Africa,Eritrea,(+291),$0.335-$0.335,
Africa,Ethiopia,(+251),$0.325-$0.36,
Africa,Gabon,(+241),$0.62-$0.775,
Africa,Gambia,(+220),$0.825-$0.825,
Africa,Ghana,(+233),$0.37-$0.407,
Africa,Guinea,(+224),$0.707-$0.783,
Africa,"Guinea-Bissau",(+245),$0.555-$1.009,
Africa,Ivory Coast,(+225),$0.56-$0.66,
Africa,Kenya,(+254),$0.285-$0.289,
Africa,Lesotho,(+266),$0.663-$0.82,
Africa,Liberia,(+231),$0.565-$0.689,
Africa,Libya,(+218),$0.443-$0.473,
Africa,Madagascar,(+261),$0.88-$0.964,
Africa,Malawi,(+265),$0.647-$0.687,
Africa,Mali,(+223),$0.52-$0.589,
Africa,Mauritania,(+222),$0.823-$0.93,
Africa,Mauritius,(+230),$0.203-$0.213,
Africa,"Morocco/Western Sahara",(+212),$0.347-$0.954,
Africa,Mozambique,(+258),$0.322-$0.40,
Africa,Namibia,(+264),$0.143-$0.165,
Africa,Niger,(+227),$0.455-$0.475,
Africa,Nigeria,(+234),$0.16-$0.165,
Africa,"Reunion/Mayotte",(+262),$0.43-$0.642,
Africa,Rwanda,(+250),$0.405-$0.405,
Africa,Senegal,(+221),$0.49-$0.745,
Africa,Seychelles,(+248),$1.349-$1.349,
Africa,"Sierra Leone",(+232),$0.82-$0.82,
Africa,Somalia,(+252),$0.768-$0.768,
Africa,"South Africa",(+27),$0.027-$0.893,
Africa,"South Sudan",(+211),$0.596-$0.80,
Africa,Sudan,(+249),$0.309-$0.344,
Africa,Swaziland,(+268),$0.333-$0.348,
Africa,Tanzania,(+255),$0.45-$0.50,
Africa,Togo,(+228),$0.54-$0.54,
Africa,Tunisia,(+216),$1.153-$1.174,
Africa,Uganda,(+256),$0.473-$0.48,
Africa,Zambia,(+260),$0.65-$0.69,
Africa,Zimbabwe,(+263),$0.348-$0.71,
Oceania,American Samoa,(+1-684),$0.409-$0.409,
